Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
9.30,9.10 - 9.40,4.30 - 11.90,1.03B,0,0,0,0,8.21,1.11,0,0,0,0,0,120.5K,HPFL.N0000
9.50,9.40 - 9.60,4.20 - 10.90,5.53B,0,0,0,0,8.33,1.14,0,0,0,0,0,583.33K,LVEF.N0000
2.70,2.40 - 2.90,1.00 - 5.20,270M,0,0,0,0,0,-1.25,0,0,0,0,0,215.99K,MEL.N0000
8.40,7.90 - 8.70,3.70 - 13.20,1.49B,0,0,0,0,0,-0.96,0,0,0,0,0,16.88K,MADU.N0000
27.00,27.00 - 27.00,16.50 - 31.30,0,0,0,0,0,0,0,0,0,0,0,0,3.66K,MCPL.N0000
13.00,10.60 - 13.00,10.50 - 17.20,654.22M,0,0,0,1.562M,0,-3.56,0,0,0,0,0,1.6K,MRH.N0000
11.50,11.50 - 13.50,3.50 - 14.00,2.92B,0,0,0,0,15.09,0.89,0,0,0,0,0,93.71K,MAL.N0000
8.50,8.40 - 8.90,2.00 - 10.70,2.91B,0,0,0,0,9.61,0.89,0,0,0,0,0,53.85K,MAL.X0000
1.90,1.80 - 2.00,0.70 - 2.50,433.2M,0,0,0,1.785M,0,-0.37,0,0,0,0,0,554.58K,MARA.N0000
11.20,10.00 - 11.90,5.50 - 18.00,625.86M,0,0,0,328.38K,0,-1.73,0,0,0,0,0,29.16K,MASK.N0000
47.00,45.00 - 47.00,16.00 - 78.00,55.71B,0,202.05M,0,4.129M,15.61,2.92,0,0,0,0,0,1.63M,MELS.N0000
72.30,72.30 - 72.30,39.00 - 114.50,205.69M,0,0,0,0,0,-28.56,0,0,0,0,0,431.83,MSL.N0000
7.20,7.20 - 7.20,5.50 - 9.20,1.21B,0,35M,0,0,0,-5.66,0,0,0,0,0,79.67K,MBSL.N0000
6.00,5.80 - 6.00,4.40 - 8.00,794.62M,0,16.9M,0,0,4.96,1.19,0,0,0,0,0,51.49K,MHDL.N0000
1.00,1.00 - 1.00,0.50 - 1.70,283M,0,0,0,10.206M,12.74,0.08,0,0,0,0,0,569.51K,MULL.N0000
7.00,7.00 - 7.00,7.00 - 13.60,445.27M,0,0,0,2.567M,0,-1.47,0,0,0,0,0,7.8K,MFL.N0000
176.50,176.50 - 179.50,69.20 - 202.00,4.26B,0,0,0,461.20K,5.96,30.14,0,0,0,0,0,4.54K,NAMU.N0000
0.80,0.70 - 0.80,0.40 - 1.40,1.22B,0,0,0,3.912M,0,-0.06,0,0,0,0,0,764.81K,CSF.N0000
81.50,80.00 - 81.70,56.80 - 105.75,19.05B,232.64M,0,0,0,3.60,22.26,0.00%,2.00,Feb 28 2020,0,0,465.61K,NDB.N0000
57.50,56.50 - 57.50,52.60 - 76.00,16.69B,245.13M,86.09M,0,0,3.96,14.28,0,0,0,0,0,109.82K,NTB.N0000
5.20,5.00 - 5.20,2.60 - 7.70,7.05B,0,363.01M,0,3.712M,40.29,0.12,0,0,0,0,0,330.26K,NHL.N0000
1170.00,1170.00 - 1189.75,985.00 - 1375.00,63.03B,0,0,0,0,21.20,55.34,4.69%,20.00,Jun 11 2021,0,0,677.06,NEST.N0000
1020.00,1008.00 - 1020.00,792.00 - 1299.80,2.19B,0,0,0,1.938M,0,-1.44,0,0,0,0,0,60.45,NEH.N0000
19.80,19.80 - 19.80,14.50 - 24.00,5.44B,0,27.99M,0,6.740M,0,-6.72,0,0,0,0,0,4.89K,ODEL.N0000
70.00,70.00 - 71.20,61.50 - 100.00,59.35M,0,0,0,0,19.37,3.68,0,0,0,0,0,191.45,OFEQ.N0000
32.00,29.70 - 34.60,23.10 - 46.90,3.26B,0,0,0,0,10.76,2.79,0,0,0,0,0,13.47K,ONAL.N0000
13.80,13.80 - 15.50,5.00 - 18.00,3.27B,211.1M,102.03M,0,6.420M,0,-0.20,0,0,0,0,0,99.71K,BFN.N0000
15.00,14.80 - 15.10,9.50 - 21.10,18.89B,0,0,0,0,8.44,1.78,0,0,0,0,0,863.63K,OSEA.N0000
26.50,26.50 - 27.80,15.50 - 36.00,1.2B,0,0,0,0,0,-36.92,0,0,0,0,0,6.77K,PALM.N0000
16.80,15.50 - 17.40,6.10 - 22.50,7.44B,0,0,0,0,3.46,4.63,0,0,0,0,0,948.78K,PABC.N0000
3.60,3.40 - 3.60,2.50 - 5.00,2.19B,0,0,0,11.506M,14.80,0.24,0,0,0,0,0,2.62M,PAP.N0000
49.00,49.00 - 52.00,49.00 - 97.90,52.01M,0,0,0,0,42.24,1.23,0,0,0,0,0,765.75,PARA.N0000
31.00,30.00 - 31.00,18.00 - 40.00,911.75M,0,0,0,2.242M,0,-5.76,0,0,0,0,0,1.33K,PEG.N0000
31.50,30.30 - 31.50,16.50 - 37.00,6.2B,0,50M,0,0,5.54,5.52,0,0,0,0,0,249.38K,PINS.N0000
12.20,12.00 - 12.30,8.69 - 15.40,20.8B,1.7B,0,0,11.325M,9.04,1.33,0.00%,0.67,Jan 13 2020,0,0,857.6K,PLC.N0000
7.50,7.00 - 7.50,6.51 - 9.96,2.52B,326.86M,0,0,5.030M,435.29,0.02,0,0,0,0,0,14.18K,PMB.N0000
9.80,9.60 - 9.90,2.80 - 11.40,9.41B,0,255.37M,0,15.756M,12.24,0.79,0,0,0,0,0,7.02M,GLAS.N0000
12.90,12.90 - 12.90,9.28 - 17.04,1.56B,121M,118.34K,0,0,30.63,0.42,0,0,0,0,0,14.66K,GSF.N0000
29.50,29.50 - 31.00,20.00 - 37.80,2.66B,0,0,0,7.513M,13.22,2.34,0,0,0,0,0,4.6K,CARE.N0000
120.00,115.00 - 120.00,110.00 - 155.00,7.9B,0,0,0,0,21.42,5.42,0,0,0,0,0,883.71,PDL.N0000
25.20,25.20 - 29.50,16.00 - 37.30,70.8M,0,0,0,0,0,-5.72,0,0,0,0,0,4.81K,RGEM.N0000
5.60,5.00 - 5.60,1.50 - 11.30,1.5B,0,0,0,2.411M,9.25,0.54,2.00%,0.10,Oct 2 2020,0,0,210.5K,RWSL.N0000
16.50,16.50 - 16.50,15.00 - 21.80,330M,0,0,0,2.120M,0,-0.34,0,0,0,0,0,650.66,RFL.N0000
95.00,93.20 - 95.00,48.10 - 160.00,1.07B,0,0,0,15.608M,17.81,5.26,6.67%,3.13,May 14 2020,0,0,42.6K,REG.N0000
3.50,3.40 - 3.70,1.70 - 6.60,2.02B,0,0,0,5.402M,25.89,0.14,0,0,0,0,0,1.55M,RAL.N0000
6.80,6.40 - 6.90,1.40 - 10.50,1.18B,0,0,0,0,3.35,2.03,1.47%,0.13,Sep 19 2019,0,0,1.46M,KZOO.N0000
236.25,235.00 - 240.00,155.00 - 288.75,1.58B,0,0,0,2.598M,6.08,39.01,0,0,0,0,0,2.21K,RENU.N0000
13.60,13.50 - 13.80,12.00 - 21.00,1.65B,0,0,0,0,24.78,0.55,0,0,0,0,0,76.7K,COCO.N0000
14.00,13.90 - 15.20,10.26 - 22.50,2.57B,155.81M,0,0,6.038M,4.70,3.00,1.77%,0.24,Sep 29 2020,0,0,576.27K,RHL.N0000
10.70,10.70 - 12.60,7.10 - 15.90,2.67B,22.5M,0,0,6.038M,3.87,2.99,2.16%,0.24,Sep 29 2020,0,0,172.72K,RHL.X0000
65.10,65.00 - 65.10,32.10 - 90.00,0,0,0,0,0,0,0,0,0,0,0,0,36.31K,RCH.N0000
24.60,23.50 - 24.90,18.15 - 29.43,1.98B,79.03M,0,0,5.804M,7.00,3.37,0,0,0,0,0,8.06K,HPWR.N0000
16.60,15.70 - 16.60,7.00 - 18.70,33.78B,0,360.8M,0,1.937M,10.94,1.46,0,0,0,0,0,1.4M,RICH.N0000
351.75,325.00 - 358.00,150.00 - 474.50,4.01B,0,0,0,9.323M,6.37,53.30,0,0,0,0,0,5.14K,REXP.N0000
6.60,6.40 - 6.70,3.30 - 11.40,5.36B,0,320M,0,8.764M,4.91,1.32,0,0,0,0,0,1.3M,RIL.N0000
270.00,239.00 - 270.00,47.00 - 439.50,30B,0,36.9M,0,3.278M,7.01,35.83,0,0,0,0,0,675.49K,RCL.N0000
15.40,15.00 - 15.40,12.00 - 22.50,730M,0,0,0,0,0,-0.96,0,0,0,0,0,6.59K,RPBH.N0000
157.50,150.25 - 157.50,96.00 - 250.00,58.94B,0,0,0,0,6.82,22.13,0,0,0,0,0,1.14M,SAMP.N0000
145.00,145.00 - 145.25,72.00 - 194.50,614.81M,0,0,0,3.487M,9.30,15.61,0,0,0,0,0,822.05,SIL.N0000
58.80,53.50 - 58.80,38.96 - 68.50,5.37B,91.58M,0,0,0,4.32,13.07,3.26%,1.93,Jul 16 2020,0,0,223.25K,SDB.N0000
233.25,226.50 - 233.50,220.00 - 300.00,1.37B,0,0,0,14.519M,0,-2.73,0,0,0,0,0,445,SMOT.N0000
817.75,817.25 - 817.75,600.00 - 1000.00,4.64B,0,74.12K,0,0,484.44,1.69,0,0,0,0,0,23.82,SELI.N0000
6.00,6.00 - 6.40,2.80 - 8.70,204.01M,0,0,0,2.123M,0,-2.74,0,0,0,0,0,62.87K,IDL.N0000
14.10,14.10 - 14.80,14.10 - 27.90,1.46B,0,0,0,2.228M,0,-3.45,0,0,0,0,0,682.85K,SHOT.N0000
8.80,8.80 - 9.00,8.00 - 14.40,1.48B,0,0,0,2.228M,0,-3.45,0,0,0,0,0,322.79K,SHOT.X0000
3100.00,3000.00 - 3100.00,1050.00 - 3750.00,1.08B,0,0,0,0,58.47,51.30,0,0,0,0,0,37.17,SLND.N0000
51.50,49.60 - 51.50,24.49 - 68.00,24.18B,256.72M,0,0,0,8.55,5.89,0,0,0,0,0,330.9K,SEYB.N0000
42.00,41.50 - 42.30,18.69 - 60.00,24.18B,260.31M,98.53M,0,0,7.13,5.87,0,0,0,0,0,963.77K,SEYB.X0000
16.00,15.50 - 16.30,8.00 - 17.70,2.35B,0,0,0,0,10.08,1.54,0,0,0,0,0,146.17K,CSD.N0000
1093.75,1050.00 - 1203.20,902.80 - 1461.75,6.49B,0,19.19K,0,0,5397.94,0.22,0,0,0,0,0,10.94,SHAL.N0000
