Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
['රු.14.60'],['14.40 - 14.70'],['8.00 - 19.50'],['රු.569.4M'],['N/A'],['N/A'],['N/A'],['රු.54.404M'],['10.98'],['රු.1.32'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['174.83K'],LITE.N0000?countryCode=LK
['රු.305.00'],['295.00 - 310.00'],['114.80 - 348.75'],['රු.41.21B'],['N/A'],['9.51M'],['N/A'],['N/A'],['7.88'],['රු.38.09'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['100.57K'],LFIN.N0000?countryCode=LK
['රු.77.50'],['77.40 - 77.50'],['50.00 - 90.00'],['රු.1.98B'],['N/A'],['N/A'],['N/A'],['රු.21.104M'],['3.77'],['රු.20.58'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['26.63K'],SHAW.N0000?countryCode=LK
['රු.35.00'],['34.00 - 35.00'],['18.00 - 41.00'],['රු.1.57B'],['N/A'],['N/A'],['N/A'],['රු.1.860M'],['N/A'],['-රු.1.81'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['5.16K'],LHL.N0000?countryCode=LK
['රු.605.00'],['605.00 - 621.00'],['445.00 - 639.90'],['රු.49.68B'],['N/A'],['10.41M'],['N/A'],['රු.201.837M'],['21.98'],['රු.28.25'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['11.11K'],LION.N0000?countryCode=LK
['රු.122.00'],['100.25 - 122.00'],['27.00 - 133.00'],['රු.28.97B'],['N/A'],['263.64K'],['N/A'],['රු.4.605M'],['286.89'],['රු.0.37'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['1.4K'],NIFL.N0000?countryCode=LK
['රු.7.60'],['7.10 - 8.00'],['2.20 - 9.70'],['රු.39.9B'],['N/A'],['76.92M'],['N/A'],['රු.13.352M'],['12.65'],['රු.0.58'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['3.4M'],LOFC.N0000?countryCode=LK
['රු.510.00'],['485.00 - 545.00'],['86.10 - 574.00'],['රු.243.66B'],['N/A'],['37.9M'],['N/A'],['රු.134.941M'],['11.78'],['රු.42.75'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['1.01M'],LOLC.N0000?countryCode=LK
['රු.10.60'],['10.50 - 11.00'],['4.30 - 11.90'],['රු.1.16B'],['N/A'],['N/A'],['N/A'],['N/A'],['12.83'],['රු.0.82'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['139.86K'],HPFL.N0000?countryCode=LK
['රු.10.30'],['10.00 - 10.40'],['4.20 - 10.90'],['රු.5.82B'],['N/A'],['N/A'],['N/A'],['N/A'],['10.10'],['රු.1.00'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['872.64K'],LVEF.N0000?countryCode=LK
['රු.3.30'],['3.20 - 3.30'],['1.00 - 5.20'],['රු.330M'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.1.25'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['390.64K'],MEL.N0000?countryCode=LK
['රු.9.50'],['9.10 - 9.90'],['3.70 - 13.20'],['රු.1.63B'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.0.96'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['30.74K'],MADU.N0000?countryCode=LK
['රු.28.90'],['28.30 - 28.90'],['16.50 - 31.30'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['7.52K'],MCPL.N0000?countryCode=LK
['රු.14.10'],['14.10 - 14.10'],['10.50 - 17.20'],['රු.658.93M'],['N/A'],['N/A'],['N/A'],['රු.1.562M'],['N/A'],['-රු.3.12'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['1.56K'],MRH.N0000?countryCode=LK
['රු.13.60'],['12.40 - 13.60'],['3.50 - 13.80'],['රු.2.9B'],['N/A'],['N/A'],['N/A'],['N/A'],['14.20'],['රු.0.89'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['112.74K'],MAL.N0000?countryCode=LK
['රු.9.00'],['9.00 - 9.00'],['2.00 - 10.70'],['රු.2.9B'],['N/A'],['N/A'],['N/A'],['N/A'],['10.06'],['රු.0.89'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['88.59K'],MAL.X0000?countryCode=LK
['රු.2.10'],['2.10 - 2.20'],['0.70 - 2.50'],['රු.501.6M'],['N/A'],['N/A'],['N/A'],['රු.1.785M'],['N/A'],['-රු.0.24'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['576.43K'],MARA.N0000?countryCode=LK
['රු.13.70'],['13.60 - 14.30'],['5.50 - 18.00'],['රු.739.16M'],['N/A'],['N/A'],['N/A'],['රු.328.38K'],['N/A'],['-රු.3.30'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['45.46K'],MASK.N0000?countryCode=LK
['රු.66.50'],['59.90 - 67.00'],['16.00 - 78.00'],['රු.77.73B'],['N/A'],['202.05M'],['N/A'],['රු.4.129M'],['20.50'],['රු.3.10'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['1.69M'],MELS.N0000?countryCode=LK
['රු.90.20'],['90.20 - 92.60'],['39.00 - 114.50'],['රු.263.45M'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.56.01'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['390.02'],MSL.N0000?countryCode=LK
['රු.8.40'],['8.20 - 8.50'],['5.50 - 9.20'],['රු.1.39B'],['N/A'],['35M'],['N/A'],['රු.6.710M'],['N/A'],['-රු.5.89'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['71.51K'],MBSL.N0000?countryCode=LK
['රු.6.70'],['6.50 - 6.80'],['4.40 - 8.00'],['රු.902.36M'],['N/A'],['16.9M'],['N/A'],['N/A'],['7.06'],['රු.0.94'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['77.1K'],MHDL.N0000?countryCode=LK
